nct_id,Indication
NCT05360446,Coronary Artery Disease
NCT05360446,"Plaque, Atherosclerotic"
NCT06215586,Heart Failure
NCT06215586,"Heart Failure, Diastolic"
NCT06215586,Cardiovascular Diseases
NCT06215586,Heart Diseases
NCT05513937,Hypertension
NCT07453888,"Optic Neuropathy, Ischemic"
NCT07453888,Optic Nerve Diseases
NCT05385978,Obesity
NCT05385978,Hypertension
NCT05385978,Endocrine System Diseases
NCT05385978,Non-alcoholic Fatty Liver Disease
NCT07675668,"Cardiomyopathy, Hypertrophic"
NCT07279493,Ischemic Stroke
NCT05808725,Hypertension
NCT05808725,Coronary Artery Disease
NCT04604548,Mitochondrial Diseases
NCT04604548,Noninsulin-dependent diabetes mellitus with deafness
NCT04604548,MELAS Syndrome
NCT04604548,"Ophthalmoplegia, Chronic Progressive External"
NCT04161378,Non-ST Elevated Myocardial Infarction
NCT04161378,Ventricular Remodeling
NCT04161378,Acute Coronary Syndrome
NCT05714085,Heart Failure
NCT05714085,"Ventricular Dysfunction, Left"
NCT06193928,Alagille Syndrome
NCT06193928,"Cholestasis, progressive familial intrahepatic 1"
NCT06193928,Liver Diseases
NCT06553339,von Hippel-Lindau Disease
NCT06553339,"Neuroectodermal Tumors, Primitive"
NCT06164730,Hyperlipoproteinemia Type II
NCT06164730,Coronary Artery Disease
NCT05810727,Atrial Fibrillation
NCT07671742,Heart Failure
NCT05953831,Heart Failure
NCT05953831,Cardiomegaly
NCT07511361,Hypertension
NCT07511361,Hypertensive Crisis
NCT06785454,"Sleep Apnea, Obstructive"
NCT06785454,Hypertension
NCT06785454,Sleep Apnea Syndromes
NCT07205341,Aortic Valve Stenosis
NCT06236061,Hypertension
NCT06236061,"Lymphoma, Follicular"
NCT04149379,Stroke
NCT07615179,
NCT07318610,Peripheral Arterial Disease
NCT07318610,Thrombosis
NCT03833323,Pulmonary Arterial Hypertension
NCT03833323,"Hypertension, Pulmonary"
NCT05070260,Ischemic Stroke
NCT05070260,Stroke
NCT07739888,Atrial Fibrillation
NCT07218627,Heart Failure
NCT07235046,Cardiovascular Diseases
NCT07235046,Atherosclerosis
NCT07235046,Hyperlipidemias
NCT07235046,Dyslipidemias
NCT05413057,Essential Hypertension
NCT07214857,Cardiovascular Diseases
NCT07214857,Diabetes Mellitus
NCT07241104,"Cardiomyopathy, Dilated"
NCT06046807,Postthrombotic Syndrome
NCT06046807,Venous Thrombosis
NCT06354192,Hypertension
NCT06354192,Medication Adherence
NCT07618806,Hypertension
NCT07618806,Edema
NCT06857955,Hypertension
NCT04435769,Atrial Fibrillation
NCT05398029,Atherosclerosis
NCT05398029,Hypercholesterolemia
NCT05398029,Hyperlipoproteinemia Type II
NCT05398029,Cardiovascular Diseases
NCT07140523,Venous Thromboembolism
NCT04723186,Acute Coronary Syndrome
NCT04218266,Atrial Fibrillation
NCT02928094,"Angina, Stable"
NCT02928094,Angina Pectoris
NCT02928094,Myocardial Ischemia
NCT04853160,Gout
NCT04853160,Cardiovascular Diseases
NCT05399550,Ischemic Stroke
NCT07014748,"Brain Hemorrhage, Traumatic"
NCT07014748,Wounds and Injuries
NCT05669755,Cardiovascular Diseases
NCT06936189,Carotid Stenosis
